Updated On	State	Total Doses Administered	Sessions	 Sites 	First Dose Administered	 Covaxin (Doses Administered)	CoviShield (Doses Administered)	Male(Individuals Vaccinated)	Female(Individuals Vaccinated)	Transgender(Individuals Vaccinated)	Total Individuals Vaccinated
16-01-2021	India	48276	3455	2957	48276	579	47697	23757	24517	2	48276
17-01-2021	India	58604	8532	4954	58604	635	57969	27348	31252	4	58604
18-01-2021	India	99449	13611	6583	99449	1299	98150	41361	58083	5	99449
19-01-2021	India	195525	17855	7951	195525	3017	192508	81901	113613	11	195525
20-01-2021	India	251280	25472	10504	251280	3946	247334	98111	153145	24	251280
21-01-2021	India	365965	32226	12600	365965	5367	360598	132784	233143	38	365965
22-01-2021	India	549381	36988	14115	549381	8128	541253	193899	355402	80	549381
23-01-2021	India	759008	43076	15605	759008	11192	747816	267856	491049	103	759008
24-01-2021	India	835058	49851	18111	835058	13156	821902	296283	538647	128	835058
25-01-2021	India	1277104	55151	19682	1277104	18858	1258246	444137	832766	201	1277104
26-01-2021	India	1293784	60821	21467	1293784	19604	1274180	449119	844448	217	1293784
27-01-2021	India	1726490	69495	23737	1726490	27377	1699113	586081	1140137	272	1726490
28-01-2021	India	2295491	78523	25610	2295491	36921	2258570	771229	1523939	323	2295491
29-01-2021	India	2814803	83664	26219	2814803	43604	2771199	939069	1875368	366	2814803
30-01-2021	India	3067736	87822	26643	3067736	48300	3019436	1022380	2044950	406	3067736
31-01-2021	India	3127107	91593	27011	3127107	58890	3068217	1061307	2065391	409	3127107
01-02-2021	India	3350265	97432	27751	3350265	69372	3280893	1152344	2197431	490	3350265
02-02-2021	India	3527971	106461	29522	3527971	76794	3451177	1218507	2308898	566	3527971
03-02-2021	India	3825835	116568	31167	3825835	86001	3739834	1324273	2500887	675	3825835
04-02-2021	India	4314304	126714	32505	4314304	99015	4215289	1504527	2809042	735	4314304
05-02-2021	India	4765924	137110	33947	4765924	133911	4632013	1710466	3054631	827	4765924
06-02-2021	India	5111827	145121	34814	5111827	195504	4916323	1896705	3214244	878	5111827
07-02-2021	India	5168099	153231	35778	5168099	206130	4961969	1928947	3238273	879	5168099
08-02-2021	India	5615499	164116	36740	5615499	290785	5324714	2211020	3403576	903	5615499
09-02-2021	India	6002474	175556	38131	6002474	363692	5638782	2458329	3543208	937	6002474
10-02-2021	India	6462270	187224	39339	6462270	480760	5981510	2785194	3676114	962	6462270
11-02-2021	India	6958553	197650	40332	6958553	609108	6349445	3153649	3803908	996	6958553
12-02-2021	India	7423817	207633	40799	7423817	740517	6683300	3504429	3918381	1007	7423817
13-02-2021	India	7708211	216559	41308	7687352	781304	6906048	3684053	4002279	1020	7687352
14-02-2021	India	7732278	223423	41606	7710367	786042	6924325	3699535	4009812	1020	7710367
15-02-2021	India	8253651	233527	42016	8111162	825093	7286069	3925723	4184377	1062	8111162
16-02-2021	India	8577226	245131	42859	8337600	841412	7496188	4044967	4291548	1085	8337600
17-02-2021	India	9023239	256706	43310	8704698	894555	7810143	4271486	4432078	1134	8704698
18-02-2021	India	9338267	268275	43734	8862491	962251	7900240	4509554	4351815	1122	8862491
19-02-2021	India	10241508	279055	44167	9523567	1003518	8520049	4820055	4702310	1202	9523567
20-02-2021	India	10619113	288334	44791	9734505	1033170	8701335	4966750	4766532	1223	9734505
21-02-2021	India	10651012	299726	45120	9757217	1037565	8719652	4982068	4773924	1225	9757217
22-02-2021	India	11243679	312382	45490	10069263	1085940	8983323	5226538	4841511	1214	10069263
23-02-2021	India	11597768	325527	46054	10288293	1120345	9167948	5389434	4897627	1232	10288293
24-02-2021	India	12042958	339617	46671	10517568	1156820	9360748	5558978	4957351	1239	10517568
25-02-2021	India	12819074	352882	47068	10846192	1204424	9641768	5799474	5045426	1292	10846192
26-02-2021	India	13560932	357440	47240	11141375	1244235	9897140	6008758	5131299	1318	11141375
27-02-2021	India	13560983	357450	47242	11141426	1244235	9897191	6008785	5131323	1318	11141426
28-02-2021	India	13561208	367595	48032	11141651	1244273	9897378	6008960	5131373	1318	11141651
01-03-2021	India	13561208	401961	50243	11141651	1244273	9897378	6008960	5131373	1318	11141651
02-03-2021	India	14533954	448977	51350	11886320	1277711	10608609	6462436	5422470	1414	11886320
03-03-2021	India	15383883	533253	54700	12553326	1307164	11246162	6859318	5692550	1458	12553326
04-03-2021	India	16535703	613748	57418	13393538	1345443	12048095	7346850	6045211	1477	13393538
05-03-2021	India	17871673	714806	59064	14415912	1386898	13029014	7924084	6490255	1573	14415912
06-03-2021	India	19170828	802800	60930	15438495	1434272	14004223	8488627	6948195	1673	15438495
07-03-2021	India	19288666	862720	63187	15541529	1440857	14100672	8545982	6993867	1680	15541529
08-03-2021	India	21038500	923939	64854	16976138	1495593	15480545	9298005	7676312	1821	16976138
09-03-2021	India	18360243	3632230	22562	14003206	1619279	16739804	10044921	8313353	1967	18360243
10-03-2021	India	19538547	3712590	22885	14872785	1727948	17809439	10707385	8829091	2069	19538547
11-03-2021	India	19953987	2074307	13920	15204375	1755220	18197567	10937930	9013952	2103	19953987
12-03-2021	India	21772159	5428928	34489	16612019	1910640	19860313	11974143	9795767	2247	21772159
13-03-2021	India	23159604	4500722	27403	17698742	2010101	21148292	12747867	10409393	2342	23159604
